model_name,elapsed_time_ms,total_goals,total_tasks,total_resources,total_nodes,total_variables,memory_usage_mb,prism_lines,model_type,num_states,num_transitions,parsing_time,construction_time,total_checking_time,peak_memory_mb,cpu_time,wallclock_time
labSamplesWithSideEffect,10,14,9,8,31,50,370,373,DTMC,17521,107705,0.010,0.247,0.041,76,0.324,0.328
goalModel_TAS_3,12,22,11,7,40,84,373,561,DTMC,2091502,16371731,0.009,49.153,352.006,864,400.002,401.227
1-minimal,7,3,3,0,6,12,368,99,DTMC,15,33,0.002,0.006,0,76,0.022,0.012
2-OrVariation,9,6,5,0,11,22,372,176,DTMC,103,338,0.003,0.006,0,76,0.026,0.013
3-interleavedPaltPseq,9,8,8,0,16,32,367,244,DTMC,277,1011,0.003,0.006,0.004,89,0.027,0.018
6-allnotationsReduced,9,15,12,0,27,56,375,419,DTMC,80126,447290,0.005,1.175,0.193,82,1.402,1.395
4-interleavedChoicePDegradation,10,13,9,0,22,45,363,350,DTMC,421902,3873261,0.004,6.089,1.753,204,7.726,7.862
7-minimalAll,10,13,11,0,24,50,368,371,DTMC,7249,30045,0.006,0.100,0,76,0.148,0.129
8-minimalMaintain,11,15,12,0,27,57,377,421,DTMC,24126,131345,0.005,0.386,0.067,76,0.487,0.474
9-minimalMaintainContext,10,15,12,0,27,60,371,424,DTMC,32689,211160,0.006,0.556,0.161,76,0.763,0.751
10-minimalMaintainResource,12,15,12,4,31,60,364,424,DTMC,135201,963598,0.006,2.355,0.562,106,2.952,2.951
